Rank,Competitor,DOB,Nat,Pos,Venue,Date,World Athletics Event Ranking Score,Men 100,Men 100 Wind,Men 100 Score,Men LJ,Men LJ Wind,Men LJ Score,Men SP,Men SP Score,Men HJ,Men HJ Score,Men 400,Men 400 Score,Men 110h,Men 110h Wind,Men 110h Score,Men DT,Men DT Score,Men PV,Men PV Score,Men JT,Men JT Score,Men 1500,Men 1500 Score,Overall Score
806,Taylor CROSS,,USA,3,"Wichita, KS (USA)",4/10/2014,911,11.38,1.5,778,6.66,3,734,12.73,651,1.99,794,52.15,718,15.31,2.4,812,35.42,572,3.90,590,42.95,485,05:17.9,461.43,6595
736,Thomas MAIRRE,3/7/1989,FRA,1,Pau (FRA),4/3/2011,911,11.29,2.5,797,6.81,,769,10.62,523,1.95,758,52.39,708,15.13,0.9,834,36.19,588,3.80,562,40.17,445,04:51.0,613.39,6595
800,Payton LEWIS,,USA,1,"Lacey, WA (USA)",4/28/2015,911,11.32,0,791,6.39,-0.8,673,13.34,688,1.78,610,54.30,627,15.52,2,788,41.19,689,4.60,790,38.95,427,05:08.4,512.71,6595
758,Graham BUTCHER,,USA,2,"CSU - Neta and Eddie DeRose Thunderbowl, Pueblo, CO (USA)",5/1/2021,911,11.3,3,795,6.43,-0.4,682,11.31,565,1.73,569,52.65,697,15.80,-0.4,755,35.68,577,4.03,626,57.96,707,04:49.5,622.00,6594
737,Carl MCCARGO,,USA,3,"Emporia, KS (USA)",5/8/2011,911,11.32,1.6,791,6.50,2.1,697,12.46,634,1.69,536,53.21,673,15.54,1.9,785,36.84,601,3.70,535,56.16,680,04:42.9,662.33,6594
758,Thomas DODGEN,,USA,8,"Mickey Miller Blackwell Stadium, Gulf Shores, AL (USA)",5/27/2021,911,11.44,-0.1,765,6.48,0,693,10.75,531,1.88,696,50.64,785,16.41,1.4,687,26.76,401,4.40,731,51.70,614,04:38.2,691.92,6594
873,André ZAHL,6/17/1905,GER,11,Bietigheim-Bissingen (GER),8/11/2019,911,11.68,-0.4,715,6.37,1.5,668,10.96,543,1.79,619,52.73,693,15.62,0.2,776,33.69,538,4.50,760,46.98,544,04:31.0,738.55,6594
873,Mihkel HOLZMANN,2/22/1999,EST,3,Rakvere (EST),7/27/2019,911,11.54,1.6,744,6.75,0.5,755,9.95,483,1.83,653,50.82,777,15.43,0.8,798,33.69,538,3.99,614,44.45,507,04:33.0,725.34,6594
809,Luke WOODS,9/29/1993,USA,3,"San Marcos, TX (USA)",3/28/2014,911,11.2,1.4,817,6.21,2.1,632,12.13,614,1.79,619,52.22,715,14.98,1,852,37.74,619,3.96,606,43.90,499,04:49.5,621.88,6594
873,Simon REY,5/26/1997,FRA,11,Laval (FRA),6/16/2019,911,11.53,3.2,746,6.33,2.2,659,12.32,626,1.73,569,53.19,673,15.43,1.7,798,35.94,583,4.80,849,41.18,459,04:47.8,632.61,6594
738,Patrick ARBOUR,3/17/1988,CAN,1,Ottawa (CAN),7/16/2011,910,11.91,-1.3,669,6.44,0.2,684,13.71,711,1.82,644,54.15,633,15.70,0.3,767,45.78,783,3.65,522,57.52,701,05:16.3,469.90,6593
823,Adriaan SAMAN,10/12/1983,NED,5,Apeldoorn (NED),5/20/2013,910,11.96,0.7,659,6.70,1.8,743,13.66,708,1.95,758,55.48,580,15.56,0,783,32.88,521,4.00,617,49.43,580,04:45.8,644.48,6593
760,Braeden HOLCOMBE,,USA,2,"Aztrack Sports Deck, San Diego, CA (USA)",3/26/2021,910,11.66,2.9,719,6.46,3.1,688,11.48,575,1.91,723,51.65,740,15.45,0,796,34.15,547,4.00,617,45.69,525,04:42.7,663.83,6593
626,Ionuţ FENIUC,1/27/1982,ROU,22,"Blankers-Koen Stadion, Hengelo (NED)",6/27/2010,910,11.59,-1.1,734,6.67,0.1,736,10.38,508,1.83,653,50.72,782,16.43,-2.1,685,33.84,541,4.30,702,43.52,493,04:27.8,759.48,6593
626,Jonay JORDAN,5/21/1991,ESP,26,Tallinn (EST),6/27/2010,910,11.44,-1.6,765,6.87,1.3,783,12.63,645,1.86,679,50.62,786,14.91,3.8,860,30.65,477,3.90,590,43.24,489,05:07.2,519.37,6593
267,Dong-hui CHOI,12/15/1998,KOR,1,Yecheon (KOR),7/10/2020,910,11.32,-0.9,791,6.79,-0.7,764,13.84,719,1.85,670,52.52,702,14.84,0.4,869,30.78,480,4.40,731,41.51,464,05:29.3,403.44,6593
858,Alex VERGINER,10/3/1994,ITA,1,Bressanone (ITA),4/23/2017,910,11.47,-0.3,759,6.56,0.3,711,11.16,556,1.98,785,51.71,737,15.80,2,755,35.05,565,4.10,645,41.21,460,04:49.7,620.85,6593
790,Manel MIRALLES,4/19/1993,ESP,6,Getafe (ESP),7/22/2018,910,11.13,1.5,832,6.69,-1,741,10.42,511,1.82,644,52.68,695,17.04,1.2,620,34.29,549,5.10,941,40.37,447,04:50.9,613.75,6593
268,Arthur PREVOST,5/28/1998,FRA,1,"Stade Urbain Wallet, Amiens (FRA)",8/30/2020,910,10.99,2,863,7.05,2.8,826,12.13,614,1.89,705,55.02,598,15.71,2.6,766,35.2,568,4.50,760,54.20,651,06:05.7,241.86,6592
791,Anthony COTA,,USA,4,"Santa Barbara, CA (USA)",3/23/2018,910,11.46,-0.1,761,6.67,1.4,736,10.47,514,1.98,785,50.66,784,15.92,0,742,34.52,554,3.50,482,48.26,563,04:41.6,671.00,6592
876,Pascal ZIMMER,3/1/1996,GER,12,Bietigheim-Bissingen (GER),8/11/2019,910,11.37,-0.6,780,6.10,0.6,608,12.16,616,2.06,859,51.07,766,16.35,0.7,694,36.52,594,3.60,509,46.17,532,04:47.5,634.26,6592
791,Vladimir IGNASHEV,10/5/1996,RUS,13,Kazan (RUS),8/16/2018,910,11.85,0.6,681,6.92,1.8,795,13.07,672,1.91,723,51.92,728,16.07,0.2,725,27.12,408,4.10,645,45.59,524,04:38.4,691.03,6592
876,Tsuyoshi YAMADA,7/6/1997,JPN,1,"Yanmar Stadium Nagai, Osaka (JPN)",10/16/2019,910,11.2,2.4,817,6.85,1,778,9.84,476,1.85,670,51.51,746,15.17,1.2,829,27.45,415,4.10,645,45.36,520,04:37.6,696.11,6592
786,Connor SMITH,,USA,1,"Lafayette, LA (USA)",3/16/2012,910,11.83,0.3,685,6.37,1.6,668,11.30,564,1.93,740,51.05,767,16.30,,699,41.59,697,4.55,775,42.00,471,05:05.9,526.51,6592
811,Powhattan WILLIAMSON,4/14/1993,USA,8,"Azusa, CA (USA)",4/17/2014,910,11.23,0.6,810,6.73,0.3,750,11.67,586,1.90,714,50.13,809,15.07,-1.4,841,29.75,460,3.60,509,39.87,440,04:41.2,673.07,6592
824,Edward DUNFORD,9/15/1984,GBR,6,Stoke (GBR),8/4/2013,910,11.47,1.2,759,6.35,-1.1,664,14.03,730,1.80,627,52.84,688,15.98,-0.7,735,40.66,678,3.80,562,50.43,595,05:01.2,553.45,6591
629,Albert ÁLVAREZ,4/27/1989,ESP,1,Calvia (ESP),7/4/2010,910,11.44,-1,765,6.48,-2,693,12.36,628,1.93,740,52.75,692,16.39,-1.2,689,34.55,555,4.70,819,46.19,532,05:14.7,478.43,6591
860,Yang TIAN,5/28/1997,CHN,18,Zhengzhou (CHN),4/12/2017,910,11.73,0.1,705,6.78,-0.1,762,10.19,497,2.01,813,50.71,782,15.33,0.3,810,31.74,499,4.00,617,46.13,532,04:57.5,574.59,6591
813,Steven BASTIEN,3/4/1994,USA,1,"Spartanburg, SC (USA)",4/27/2014,910,11.01,1,858,7.22,-0.5,866,11.37,568,1.95,758,49.97,816,15.70,0.2,767,31.97,503,3.85,576,42.88,484,05:30.9,395.21,6591
739,Talor FULFER,4/20/1989,USA,1,"Turlock, CA (USA)",5/6/2011,910,11.89,-1.4,673,6.28,-0.7,648,12.74,651,1.90,714,53.63,655,16.40,2.1,688,38.79,640,4.29,699,58.66,718,05:09.9,504.67,6590
861,Kyle LAWSON,,USA,3,"Chico, CA (USA)",5/5/2017,910,11.54,1.9,744,6.12,1.9,613,11.13,554,1.79,619,52.29,712,15.00,2.8,850,33.68,537,4.35,716,54.44,655,04:54.8,590.54,6590
761,Max BRAHT,4/20/2000,USA,7,"RV Christian Track, Manhattan, KS (USA)",5/15/2021,910,10.93,2.6,876,6.68,1.5,739,12.03,608,1.84,661,54.04,638,16.55,0.5,672,31.09,486,4.31,705,53.09,634,04:58.0,571.62,6590
878,Vitor Hugo DA COSTA,3/24/1998,BRA,5,"CNDA, Bragança Paulista (BRA)",8/31/2019,910,11.31,-0.1,793,6.66,0,734,12.28,623,1.74,577,50.61,787,16.09,2.5,723,37.86,621,3.70,535,48.96,573,04:49.0,624.96,6590
761,Jonathan DA SILVA,5/13/2001,BRA,8,"COTP Stadium, São Paulo (BRA)",6/13/2021,910,11.22,0.3,812,6.46,-0.6,688,11.24,560,1.80,627,50.29,801,15.44,-0.7,797,35.21,568,4.15,659,44.73,511,04:58.7,567.91,6590
269,Valentin GILBERT,8/3/2000,FRA,2,"Stade Colette Besson, Muret (FRA)",8/30/2020,910,11.56,-0.2,740,6.86,0,781,11.39,569,1.92,731,51.35,753,15.50,0.3,790,29.45,454,4.40,731,40.66,452,04:55.0,589.30,6590
878,Clayton JEFFREY,6/20/1905,CAN,5,"Princeton, NJ (USA)",5/5/2019,910,11.33,0.9,789,6.78,0,762,10.64,524,1.88,696,51.06,766,14.68,1.8,889,25.93,385,4.37,722,39.79,439,04:50.1,618.74,6590
815,Geoffrey VAN DIPTEN,11/27/1991,NED,8,Woerden (NED),8/31/2014,910,11.17,,823,6.72,,748,10.12,493,1.94,749,50.98,770,15.66,,772,30.86,481,4.04,628,39.69,438,04:38.8,688.31,6590
796,Esteban SALGADO,4/3/1990,COL,2,Medellín (COL),4/24/2016,910,11.16,1,825,6.76,-0.8,757,12.88,660,1.79,619,50.79,779,15.14,2.7,833,34.53,554,3.70,535,39.55,436,04:54.6,591.48,6590
794,Vicente NAVARRO,5/16/1997,ESP,7,Getafe (ESP),7/22/2018,910,11.72,1.5,707,6.69,1.9,741,10.71,528,1.97,776,52.15,718,15.61,1.2,777,32.18,507,4.40,731,35.82,382,04:33.3,723.26,6590
270,Peng WEI,12/29/2002,CHN,2,Jinan (CHN),6/3/2020,910,11.64,0.1,723,7.12,0.2,842,11.75,591,1.77,602,53.52,660,16.86,-0.2,639,37.82,620,4.10,645,60.68,748,05:07.2,519.42,6589
763,André DÜSTERHÖFT,2/15/1993,GER,2,"LAZ Nord, Gütersloh (GER)",7/4/2021,910,11.7,0.5,711,7.04,1.4,823,11.95,603,2.04,840,53.49,661,16.53,0.8,674,35.97,583,4.03,626,52.08,619,05:20.2,449.71,6589
788,Jeremy MARCINKO,4/2/1989,USA,12,"Eugene, OR (USA)",5/6/2012,910,11.58,1.4,736,6.02,2.9,591,11.41,571,1.67,520,52.42,706,15.69,1.7,768,37.4,612,4.90,880,51.41,609,04:53.7,596.80,6589
825,Johannes WAIDELICH,6/8/1905,GER,13,Lage (GER),8/25/2013,910,11.83,-1.6,685,7.19,1.5,859,13.17,678,1.85,670,51.75,736,16.34,-1.1,695,35.83,580,3.90,590,49.49,581,05:07.9,515.59,6589
797,Max JETTE,,USA,2,"Sacramento, CA (USA)",3/19/2016,910,11.68,1.3,715,6.64,-1.5,729,11.46,574,1.91,723,52.05,723,15.58,-2.1,781,30.06,466,4.20,673,43.38,491,04:34.6,714.87,6589
630,Sven BÖSING,9/3/1984,GER,8,Potsdam (GER),8/27/2010,910,11.91,0,669,6.71,0,746,11.21,559,1.85,670,51.64,741,15.77,0.6,759,32.33,510,4.50,760,43.36,491,04:39.4,684.26,6589
740,Joan ESTRUCH,3/23/1984,ESP,23,Bressanone (ITA),7/3/2011,910,11.33,2.6,789,6.60,1.9,720,12.86,659,1.80,627,52.48,704,14.83,1.4,870,38.99,644,4.00,617,35.45,377,04:56.1,582.89,6589
880,Sean MURPHY,6/20/2000,USA,3,"Charlottesville, VA (USA)",5/10/2019,910,11.51,0.2,750,6.52,1,702,12.21,619,2.02,822,50.74,781,16.17,2.4,714,28.08,427,3.70,535,53.06,634,04:52.4,604.59,6588
764,Evan MILLS,,USA,1,"Dick Vert Stadium, High Point, NC (USA)",5/10/2022,910,11.66,0.3,719,6.50,1.3,697,11.74,591,1.86,679,50.31,800,16.29,2.6,700,34.63,556,3.65,522,52.23,622,04:36.6,702.30,6588
789,Jason DEWITT,6/25/1991,USA,13,"Eugene, OR (USA)",5/6/2012,910,11.58,2.9,736,6.37,2,668,12.44,633,2.03,831,53.87,645,15.48,0.4,792,32.65,517,4.20,673,44.65,510,04:56.0,583.42,6588
764,AJ BEYNON,,USA,2,"Myron Partridge Stadium & Sheila Tarr-Smith Field, Las Vegas, NV (USA)",3/19/2021,910,11.38,-0.6,778,6.46,1.3,688,12.06,610,2.02,822,51.17,761,15.42,0.6,799,32.62,516,3.85,576,41.85,469,04:58.4,569.30,6588
799,Willie REED,8/14/1996,USA,12,"Tuscaloosa, AL (USA)",5/13/2016,910,10.77,0.9,912,7.19,1.5,859,9.88,478,1.87,687,49.68,829,14.31,-0.3,935,35.62,576,3.65,522,39.15,430,05:38.1,360.95,6588
741,Jake WAINRIGHT,3/21/1989,USA,1,"Charlotte, NC (USA)",3/18/2011,910,11.23,0.3,810,7.04,-1.5,823,10.47,514,1.98,785,49.42,842,15.01,-1.4,848,28.38,433,3.95,603,38.40,419,05:08.6,511.50,6588
862,Jordan PATRICK,,USA,5,"El Paso, TX (USA)",5/12/2017,910,11.4,1.8,774,7.03,0.8,821,11.25,561,1.96,767,51.88,730,15.52,-1.1,788,33.02,524,3.90,590,37.89,412,04:49.6,621.27,6588
881,Jonas BOGAERTS,4/8/1994,BEL,1,Ieper (BEL),7/6/2019,909,11.92,-2.5,667,6.78,2.3,762,11.41,571,1.72,560,50.79,779,16.22,-0.7,708,34.23,548,3.81,565,61.18,756,04:41.4,671.75,6587
881,Andreas GUSTAFSSON,4/8/1997,SWE,1,Varberg (SWE),9/15/2019,909,11.52,1.9,748,6.75,0.3,755,12.36,628,1.86,679,52.92,685,15.56,1.8,783,33.59,536,4.04,628,53.33,638,05:09.4,507.53,6587
742,Josh MCMILLIN,7/24/1990,USA,4,"Fort Collins, CO (USA)",5/12/2011,909,11.31,2.2,793,6.53,3.8,704,12.14,615,1.81,636,53.54,659,15.83,3.6,752,33.95,543,4.62,796,49.99,588,05:10.5,501.27,6587
765,Mason BARTH,,USA,2,"Veterans Memorial Stadium, La Crosse, WI (USA)",5/7/2022,909,11.59,0.6,734,6.52,1.2,702,10.08,490,1.83,653,53.76,650,15.78,0.7,758,34.19,547,4.75,834,48.07,560,04:43.5,659.17,6587
881,Masaya TANAKA,4/4/1997,JPN,1,Kyoto (JPN),5/10/2019,909,11.38,-0.6,778,6.84,-0.2,776,12.04,609,1.70,544,52.19,716,15.43,-1,798,34.28,549,4.00,617,47.67,554,04:45.5,646.75,6587
792,Hewitt HOLMES,,USA,3,"San Angelo, TX (USA)",3/15/2012,909,11.03,2.7,854,6.71,1.2,746,11.39,569,1.77,602,50.97,770,16.63,,663,35.24,568,4.24,685,47.09,546,04:55.9,584.30,6587
816,Matthias KÜSTERS,6/12/1905,GER,13,Vaterstetten (GER),8/24/2014,909,11.76,0,699,6.42,-0.2,679,12.50,637,1.82,644,50.93,772,16.37,1.2,692,32.61,516,4.50,760,46.54,538,04:44.8,651.00,6587
765,Vincent LAPORTE,3/19/1997,BEL,1,"Stade Communal de Herve, Herve (BEL)",8/22/2021,909,11.54,1.6,744,6.40,1.8,675,12.12,614,1.70,544,49.30,847,16.53,-0.3,674,40.36,672,3.60,509,45.81,527,04:24.5,781.61,6587
742,Diego DOS SANTOS PEREIRA DE ARAUJO,12/30/1988,BRA,4,São Paulo (BRA),6/26/2011,909,11.57,-0.3,738,7.04,1.2,823,10.32,505,1.89,705,53.88,645,15.13,0.4,834,36.5,594,4.40,731,42.49,478,05:04.5,534.71,6587
817,Brock LARSON,5/28/1992,USA,2,"Fargo, ND (USA)",5/16/2014,909,11.55,2.2,742,6.31,1.9,655,11.33,566,1.71,552,52.34,710,15.99,2.3,734,36.7,598,4.58,784,55.80,675,04:58.3,570.29,6586
766,Pascal ZIMMER,3/1/1996,GER,4,"Fleinsbachstadion, Bernhausen, Filderstadt (GER)",8/28/2022,909,11.26,1.1,804,6.55,0.7,709,12.42,632,1.91,723,51.11,764,16.72,-0.4,654,36.43,592,3.70,535,49.72,584,04:54.9,589.71,6586
884,Derreck AFFOR,,USA,7,"Santa Barbara, CA (USA)",5/4/2019,909,11.17,-0.5,823,6.94,-1,799,10.69,527,1.89,705,52.27,713,14.75,-0.9,880,29.99,464,3.80,562,49.20,577,05:04.2,536.34,6586
632,Trent PEREZ,5/26/1990,USA,2,"Los Angeles, CA (USA)",4/9/2010,909,11.66,0.1,719,6.56,0.5,711,9.54,458,1.83,653,49.94,817,16.53,-0.8,674,29.02,445,4.50,760,49.03,574,04:25.4,775.71,6586
863,Lucas WIECHMAN,,USA,5,"Des Moines, IA (USA)",4/27/2017,909,11.19,3.7,819,6.72,3.2,748,11.18,557,1.81,636,51.46,749,15.49,1.9,791,28.67,438,5.00,910,47.82,556,05:33.5,382.60,6586
884,Simon BERNHARDT,6/21/1905,GER,4,Bietigheim-Bissingen (GER),8/11/2019,909,11.61,-0.6,730,6.31,0.8,655,11.56,580,1.82,644,51.99,725,15.70,0.2,767,34.75,559,4.10,645,47.46,551,04:32.3,730.27,6586
863,Caleb NETH,,USA,5,"Sacramento, CA (USA)",5/11/2017,909,11.27,2.7,801,7.04,1.7,823,9.60,462,1.76,593,50.74,781,16.28,1.1,702,35.8,580,3.93,598,45.98,529,04:34.3,717.32,6586
766,Isaiah CLAUSEN,,USA,1,"Benedetti-Wehrli Stadium - Jay & Dot Buikema Track, Naperville, IL (USA)",5/17/2022,909,11.07,1.7,845,6.96,1.8,804,10.51,516,1.82,644,51.89,730,15.46,1.3,795,30.7,478,4.10,645,44.56,509,04:49.8,620.61,6586
744,Teran WALFORD,8/25/1989,USA,1,"Lawrence, KS (USA)",4/21/2011,909,11.51,1.2,750,6.53,-1.9,704,11.45,573,1.85,670,51.14,763,15.38,0.3,804,31.15,487,3.95,603,42.69,481,04:29.1,751.29,6586
817,Kacper CHŁOND,5/27/1994,POL,4,Zgorzelec (POL),6/8/2014,909,11.49,-3.3,755,6.72,0.5,748,10.18,496,1.89,705,49.78,825,15.03,-2.3,846,31.32,490,4.20,673,40.77,453,04:54.0,595.44,6586
796,Angelos-Tzanis ANDREOGLOU,7/7/1999,GRE,3,Thessaloniki (GRE),5/6/2018,909,11,3.6,861,6.93,1,797,10.49,515,1.80,627,50.99,770,15.32,-0.9,811,34.58,555,4.00,617,39.88,440,04:54.2,593.90,6586
826,Vincent RENTZSCH,7/19/1992,GER,1,"Binghamton, NY (USA)",5/5/2013,909,11.98,-1.1,655,6.50,1.2,697,14.33,749,1.65,504,52.57,700,16.41,-0.1,687,43.04,727,3.85,576,62.92,782,05:09.2,508.30,6585
745,Gianluca SIMIONATO,8/8/1990,ITA,2,Chiari (ITA),5/1/2011,909,11.64,-0.6,723,6.22,0.2,635,12.79,654,1.85,670,53.37,666,16.39,-0.9,689,40.04,665,3.80,562,58.78,720,04:52.9,601.79,6585
801,Severin CHUM,4/20/1993,AUT,2,Wien (AUT),8/28/2016,909,11.33,-1.1,789,6.63,-1,727,12.06,610,1.76,593,52.89,686,16.19,-0.5,711,38.81,640,4.00,617,54.31,653,05:00.1,559.42,6585
768,Trey MCFARLAND,,USA,2,"Parkman Track, Clinton, MS (USA)",5/6/2022,909,11.37,2.5,780,6.53,1.7,704,11.66,586,1.86,679,53.29,669,15.35,3.1,808,34.82,560,4.10,645,53.90,647,05:09.4,507.25,6585
767,Zsombor TÓTH,2/23/1998,HUN,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",6/20/2021,909,11.5,0.4,753,6.55,1.1,709,12.79,654,1.84,661,51.14,763,16.11,0,720,32.5,514,4.10,645,53.68,643,05:06.5,523.60,6585
793,Ian ROCK,9/27/1992,USA,6,"Charlottesville, VA (USA)",4/20/2012,909,11.37,0.4,780,6.49,0.7,695,11.02,547,1.88,696,50.04,813,17.44,-0.4,579,30.62,477,4.50,760,50.38,594,04:45.8,644.54,6585
803,Ingus ZARIŅŠ,1/20/1992,LAT,1,Valmiera (LAT),6/12/2015,909,11.68,0.2,715,6.46,1.8,688,12.56,640,1.88,696,53.15,675,16.10,-0.9,722,37.23,608,4.10,645,46.03,530,04:42.3,666.69,6585
819,Florian BERGS,6/16/1905,GER,9,Vaterstetten (GER),8/24/2014,909,11.36,0.1,782,6.67,0,736,10.76,531,1.88,696,50.57,789,16.33,0,696,34.04,544,4.10,645,45.56,523,04:46.0,643.68,6585
865,Korbinian SUCKFÜLL,8/6/1997,GER,3,Erding (GER),6/25/2017,909,11.07,-0.1,845,6.82,-0.7,771,10.54,518,1.75,585,49.19,852,15.36,0,807,26.99,406,4.50,760,38.71,423,04:50.1,618.56,6585
804,Xin YU,2/12/1995,CHN,15,Suzhou (CHN),9/25/2015,909,11.23,0.1,810,6.94,0.8,799,11.03,548,1.89,705,52.28,713,15.37,-0.3,805,32.26,509,3.80,562,53.35,638,05:11.6,495.22,6584
271,Dong-hui CHOI,12/15/1998,KOR,1,Yecheon (KOR),10/20/2020,909,11.61,-0.9,730,6.67,1.1,736,14.40,753,1.85,670,54.32,626,15.26,-0.5,818,33.3,530,4.20,673,49.45,580,05:16.6,468.36,6584
802,Angus SINCLAIR,2/22/1995,GBR,2,"Lafayette, LA (USA)",5/14/2016,909,11.39,3.2,776,6.66,2.5,734,12.49,636,1.92,731,52.98,682,16.67,0,659,41.5,695,3.95,603,49.44,580,05:12.9,488.01,6584
769,Tangui TRANCHANT,1/24/2002,FRA,4,"Stade des Grands Pêchers, Montreuil (FRA)",7/17/2022,909,11.52,1.2,748,6.72,1.3,748,11.34,566,1.80,627,52.60,699,15.85,1.2,750,37.31,610,4.30,702,48.56,567,04:58.8,567.39,6584
768,J.J. WALKER,,USA,2,"Ellensburg, WA (USA)",5/4/2021,909,11.57,1.8,738,6.74,3.5,753,10.84,536,1.83,653,52.70,694,16.19,1.8,711,35.08,565,4.50,760,47.75,555,04:49.9,619.77,6584
768,J.J. WALKER,,USA,2,"Western Oregon University, Monmouth, OR (USA)",5/15/2021,909,11.57,1.8,738,6.74,3.5,753,10.84,536,1.83,653,52.70,694,16.19,1.8,711,35.08,565,4.50,760,47.75,555,04:49.9,619.77,6584
797,William EGGERS,,USA,2,"Geneva, OH (USA)",5/12/2018,909,11.17,2.2,823,6.51,-0.6,700,10.40,510,1.76,593,50.95,771,15.49,0.5,791,32.55,515,4.50,760,46.16,532,04:55.0,589.30,6584
797,Jonathan HARPER,,USA,2,"Kingsville, TX (USA)",3/17/2018,909,11.12,2.3,834,6.77,1.6,760,12.05,609,1.82,644,50.73,781,15.76,1.5,760,28.53,436,4.24,685,44.54,508,04:58.7,567.56,6584
802,Daniel MCCARTY,,USA,4,"Maryville, MO (USA)",5/7/2016,909,11.38,1.8,778,6.46,1.9,688,13.89,722,1.80,627,50.81,778,17.51,0.7,572,40.56,676,4.16,662,43.05,486,04:54.0,595.44,6584
887,Rintaro KOBA,10/19/1993,JPN,1,Sagamihara (JPN),5/24/2019,909,11.26,2.3,804,6.69,-0.7,741,11.41,571,1.93,740,51.10,765,18.45,0.8,482,37.74,619,4.30,702,59.01,723,05:22.6,436.93,6583
795,Ben LINDAMAN,2/14/1992,USA,9,"Des Moines, IA (USA)",4/26/2012,909,11.55,0,742,6.29,0.9,650,12.76,653,1.78,610,53.71,652,15.48,3.1,792,35.42,572,4.10,645,56.97,692,04:57.3,575.82,6583
887,Fabian STEFFEN,3/20/1999,SUI,24,Lutsk (UKR),7/7/2019,909,11.65,-0.7,721,6.89,1.2,788,11.16,556,1.89,705,52.92,685,15.81,1.5,754,25.04,368,4.40,731,52.05,619,04:43.9,656.69,6583
827,Chandler RIESKE,,USA,4,"Provo, UT (USA)",4/25/2013,909,11.55,2.1,742,6.40,2.6,675,12.43,633,1.87,687,52.54,701,15.52,0.4,788,36.39,592,4.05,631,48.46,566,04:58.6,568.55,6583
799,Fedor SOLYAKOV,3/8/1998,RUS,14,Kazan (RUS),8/16/2018,909,11.74,0.6,703,6.92,1,795,11.40,570,1.97,776,51.09,765,16.21,0.2,709,36.32,590,3.80,562,44.45,507,04:52.1,606.74,6583
795,Logan MARKUSON,7/6/1992,USA,12,"Azusa, CA (USA)",4/19/2012,909,11.37,0.7,780,6.17,-0.9,624,10.50,516,1.73,569,49.79,824,15.65,-1.9,773,28.29,431,4.50,760,43.92,499,04:20.7,807.43,6583
770,Max HERKERT,,USA,11,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",4/8/2022,909,11.61,-0.1,730,6.66,1.7,734,11.39,569,1.93,740,52.21,716,15.51,2,789,32.53,514,4.40,731,43.44,492,04:58.5,568.95,6583
805,Derrick SCHLUTER,,USA,2,"Maryville, MO (USA)",3/29/2015,909,11.42,1.8,769,6.52,2.9,702,10.86,537,1.86,679,50.95,771,16.30,-1.3,699,37.77,619,4.20,673,43.28,490,04:45.9,644.23,6583
887,Dalen HARGETT,,USA,3f1,"Azusa, CA (USA)",4/18/2019,909,11.23,0.1,810,6.35,0,664,13.22,681,1.69,536,51.27,757,15.35,0.2,808,35.24,568,4.30,702,41.49,464,04:54.2,593.90,6583
866,Marius LAIB,6/19/1905,GER,2,Oberasbach (GER),5/14/2017,909,11.58,-0.4,736,6.59,0.1,718,13.14,676,1.86,679,51.95,727,16.56,1.4,671,40.51,675,3.40,457,54.88,661,04:56.2,582.07,6582
797,Alcides CORDOBA,9/21/1993,COL,2,Medellín (COL),8/18/2012,909,11.26,2.8,804,6.86,,781,10.69,527,1.92,731,52.10,720,16.05,,727,35.92,582,4.10,645,45.85,527,05:03.9,538.21,6582
828,Matías DALLASERRA,8/1/1991,CHI,4,Trujillo (PER),11/29/2013,909,11.38,-0.7,778,6.33,2,659,13.01,668,1.86,679,50.90,774,16.18,-1,713,33.81,540,4.00,617,43.01,486,04:40.8,675.64,6582
746,Kees LANGEVELD,1/26/1987,NED,24,Bressanone (ITA),7/3/2011,909,11.45,0.8,763,6.55,0,709,13.07,672,1.83,653,51.55,745,15.68,0.2,769,29.8,461,4.10,645,42.44,478,04:38.9,687.99,6582
770,Liam REVELEY,10/24/1998,GBR,6,"Bedford Athletic Stadium, Bedford (GBR)",5/30/2021,909,11.55,-0.2,742,6.81,1.6,769,11.68,587,1.98,785,51.87,730,15.55,-1.3,784,35.17,567,4.04,628,42.13,473,05:07.6,517.03,6582
801,Michał KRAWCZYK,9/8/1992,POL,8,Hexham (GBR),7/22/2018,909,11.67,-1.3,717,6.13,0.7,615,12.65,646,1.75,585,51.93,728,15.82,-1.2,753,40.12,667,4.51,763,41.19,459,04:45.0,649.46,6582
771,Harm JANSSENS,6/24/1905,NED,1,"AV Generaal Michaelis, Best (NED)",7/3/2022,909,10.96,1.2,870,6.25,0,641,10.52,517,1.83,653,49.22,851,16.17,1,714,29.85,461,4.53,769,40.26,446,04:43.2,660.84,6582
772,Georgios KANARIS,10/4/2000,CYP,6,"Municipal Stadium, Naxos (GRE)",5/22/2022,909,11.58,0.8,736,6.63,3,727,13.06,671,1.88,696,55.31,586,15.98,1.7,735,42,705,3.80,562,55.39,669,05:11.7,494.46,6581
772,Mika VOSS,6/24/1905,AUT,1,"Parkstadion, Lustenau (AUT)",5/22/2022,909,11.37,-0.3,780,6.46,0.3,688,10.81,534,1.77,602,51.87,730,16.12,0,719,36.57,595,4.60,790,49.46,581,04:59.7,562.01,6581
